customer_id,customer_type,title,first_name,middle_name,last_name,business_name,trading_name,date_of_birth,gender,ird_number,nzbn,email,mobile_phone,landline_phone,street_address,suburb,city,postcode,country,occupation,employer_name,annual_income_nzd,customer_since,kyc_status,aml_risk_rating,pep_flag,num_accounts,products_held,total_deposits_nzd,total_lending_nzd,credit_score,preferred_branch,online_banking_active,marketing_opt_in,customer_status
HB-10862,Individual,Mr,Matthew,Paul,Hughes,,,2003-05-18,M,103-257-687,,matthew.hughes@gmail.com,029 303 8728,,116 Kowhai Crescent,Mornington,Dunedin,9011,NZ,Retired,Countdown,18000,2000-04-12,Pending,Medium,N,1,Credit Card;KiwiSaver;Savings;Term Deposit,23464.28,0,475,Dunedin Central,Y,Y,Active
HB-10372,Individual,Mr,Michael,Grace,Mitchell,,,1976-02-24,M,101-167-003,,michael.mitchell@xtra.co.nz,022 188 6776,09 991 9497,192 Totara Crescent,Takapuna,Auckland,0622,NZ,Chef,Self,0,2005-07-05,Pending,Medium,N,5,Personal Loan;Savings,11854.78,12000,721,Auckland Central,Y,N,Active
HB-10108,Individual,Mr,Wei,,Te Rangi,,,2002-03-17,M,130-558-763,,wei.terangi@xtra.co.nz,029 799 0554,,"Unit 7, 226 Park Avenue",Merivale,Christchurch,8014,NZ,Public Servant,Self,240000,2010-07-30,Verified,Medium,N,4,Credit Card,53327.19,0,416,Christchurch Central,N,Y,Active
HB-10394,Individual,Mr,Tevita,,Hughes,,,2005-05-12,M,,,tevita.hughes@xtra.co.nz,021 380 2700,09 801 3140,166 Matai Crescent,Mount Eden,Auckland,1024,NZ,Sales Manager,Air New Zealand,0,2012-10-26,Expired,High,N,3,Credit Card;KiwiSaver;Term Deposit,5111.34,0,369,Auckland Central,N,N,Active
HB-10691,Individual,Dr,Aisha,Louise,Taylor,,,1989-04-06,F,120-591-774,,aisha.taylor@gmail.com,027 871 8719,,"Unit 4, 193 Tui Place",Frankton,Hamilton,3204,NZ,Truck Driver,Kendrix Engineering Ltd,85000,1996-10-08,Verified,Low,N,3,Credit Card;Home Loan;KiwiSaver;Personal Loan;Savings,25587.02,747311.93,933,Hamilton Central,Y,N,Active
HB-10127,Individual,Mr,Tevita,,Rossi,,,1946-08-11,M,135-733-894,,tevita.rossi@outlook.com,029 329 1608,,77 Albert Terrace,Ponsonby,Auckland,1011,NZ,Software Developer,Auckland Council,52000,2007-11-30,Pending,Low,N,4,Term Deposit,29614.5,0,408,Auckland Central,Y,N,Active
HB-11195,Business,,,,,Coastal Fisheries Limited,,,,130-418-760,9429486200324,accounts@coastalfisheries.co.nz,,07 607 7402,148 Harbour Road,Chartwell,Hamilton,3210,NZ,,,1200000,2002-08-23,Pending,Medium,N,4,Business Credit Card;Equipment Finance;Term Deposit,8940.48,250000,,Hamilton Business Centre,Y,N,Active
HB-10843,Individual,Mrs,Grace,Lee,Nguyen,,,1951-10-09,F,129-259-312,,grace.nguyen@gmail.com,027 575 5463,,50 Albert Crescent,Ponsonby,Auckland,1011,NZ,Software Developer,Harbourview Aged Care Ltd,52000,2015-12-12,Verified,Low,N,3,Everyday;KiwiSaver;Savings;Term Deposit,23710.97,0,731,Auckland Central,N,N,Active
HB-10499,Individual,Mrs,Jessica,,Stewart,,,1973-01-13,F,119-857-526,,jessica.stewart@xtra.co.nz,029 574 0456,07 566 2978,217 Matai Road,Hillcrest,Hamilton,3216,NZ,Engineer,Fletcher Building,160000,2006-06-28,Verified,Low,N,5,Credit Card;KiwiSaver,90682.15,12000,518,Hamilton Central,Y,N,Active
HB-10198,Individual,Mr,Luca,Lee,Williams,,,2004-01-20,M,117-359-199,,luca.williams@outlook.com,029 170 6104,03 811 7099,90 Rimu Street,Riccarton,Christchurch,8011,NZ,Doctor,Spark,85000,2005-01-31,Verified,Low,N,2,Home Loan;Personal Loan;Savings;Term Deposit,19693.37,600910.55,931,Christchurch Central,Y,N,Active
