customer_key,entity_type,full_name,first_name,middle_name,last_name,business_name,trading_name,other_names,date_of_birth,gender,tax_id,nzbn,street,suburb,city,postcode,email,all_emails,phones,customer_status,customer_since,kyc_verified,aml_risk,pep,num_accounts,total_deposits_nzd,total_lending_nzd,products,in_totara,in_harbourside,n_records,name_source,address_source,source_records,review_reasons
H:HB-10009,PERSON,Hamish Brown,Hamish,,Brown,,,,1999-12-05,M,136727324,,87 Harbour Place,Chartwell,Hamilton,3210,hamish.brown@xtra.co.nz,hamish.brown@xtra.co.nz,0295848052,Dormant,2019-09-08,false,High,false,4,84324.43,3500.00,Everyday,false,true,1,H:HB-10009,H:HB-10009,H:HB-10009,
H:HB-10012,PERSON,Grace Tuilagi,Grace,,Tuilagi,,,,1943-01-22,F,123362096,,129 Rata Drive,Papamoa,Tauranga,3118,grace.tuilagi@xtra.co.nz,grace.tuilagi@xtra.co.nz,0229822941; 077595504,Active,2001-10-09,true,Low,false,2,6490.17,0.00,Savings,false,true,1,H:HB-10012,H:HB-10012,H:HB-10012,
H:HB-10015,PERSON,Andrew Walker,Andrew,,Walker,,,,1992-03-22,M,102270113,,25 Totara Avenue,Frankton,Hamilton,3204,,,0218906520,Active,1995-05-26,true,High,false,4,17548.57,0.00,Term Deposit,false,true,1,H:HB-10015,H:HB-10015,H:HB-10015,
H:HB-10020,PERSON,Mei Paul Faleolo,Mei,Paul,Faleolo,,,,2000-11-01,F,136883194,,104 Station Terrace,Papatoetoe,Auckland,2025,mei.faleolo@xtra.co.nz,mei.faleolo@xtra.co.nz,0279491389; 092547125,Dormant,2024-01-18,false,Low,false,1,9183.87,708276.70,Credit Card; Home Loan; KiwiSaver; Personal Loan; Term Deposit,false,true,1,H:HB-10020,H:HB-10020,H:HB-10020,
H:HB-10022,PERSON,Sarah Jane Fonoti,Sarah,Jane,Fonoti,,,,1993-03-06,F,,,69 Beach Street,Kelburn,Wellington,6012,sarah.fonoti@gmail.com,sarah.fonoti@gmail.com,0222452251; 049912172,Active,1995-12-22,false,Low,false,5,16633.84,0.00,Credit Card; Everyday; Personal Loan; Savings,false,true,1,H:HB-10022,H:HB-10022,H:HB-10022,
H:HB-10028,PERSON,Wiremu Marie Tuhiwai,Wiremu,Marie,Tuhiwai,,,,1971-03-23,M,109478462,,175 Ranui Place,Frankton,Hamilton,3204,wiremu.tuhiwai@xtra.co.nz,wiremu.tuhiwai@xtra.co.nz,0228182361; 075695459,Active,1997-02-22,true,Low,false,3,2953.40,0.00,Term Deposit,false,true,1,H:HB-10028,H:HB-10028,H:HB-10028,
H:HB-10032,PERSON,Daniel Kim,Daniel,,Kim,,,,1983-12-27,M,120748636,,"Unit 10, 46 Kereru Drive",Roslyn,Dunedin,9010,daniel.kim@gmail.com,daniel.kim@gmail.com,0225729992; 039159965,Active,2009-09-04,true,Low,false,1,1034.66,689741.17,Everyday; Home Loan; KiwiSaver; Term Deposit,false,true,1,H:HB-10032,H:HB-10032,H:HB-10032,
H:HB-10033,PERSON,Lucy Mitchell,Lucy,,Mitchell,,,,1954-07-03,F,132435722,,6 Queen Crescent,Chartwell,Hamilton,3210,lucy.mitchell@xtra.co.nz,lucy.mitchell@xtra.co.nz,0299416598; 076548848,Active,2005-04-30,false,Low,false,4,28134.40,12000.00,Everyday; KiwiSaver; Personal Loan,false,true,1,H:HB-10033,H:HB-10033,H:HB-10033,
H:HB-10037,PERSON,Zoe Reid,Zoe,,Reid,,,,1970-05-10,F,123541338,,"Unit 5, 74 Ranui Place",Takapuna,Auckland,0622,zoe.reid@outlook.com,zoe.reid@outlook.com,0273702725; 092656325,Active,2023-10-10,true,Low,false,5,20591.43,3500.00,Everyday; KiwiSaver; Personal Loan; Term Deposit,false,true,1,H:HB-10037,H:HB-10037,H:HB-10037,
H:HB-10046,PERSON,Ruby Ngata,Ruby,,Ngata,,,,2000-02-13,F,130340213,,124 Rata Place,Hillcrest,Hamilton,3216,ruby.ngata@xtra.co.nz,ruby.ngata@xtra.co.nz,0297006884; 077238560,Active,2013-06-23,true,Low,false,4,46717.33,0.00,Savings,false,true,1,H:HB-10046,H:HB-10046,H:HB-10046,
