customer_key,review_reasons,golden_name,golden_dob,golden_tax_id,golden_address,record_id,bank,used_for,record_name,record_dob,record_tax_id,record_address,record_status,record_customer_since,record_email
H:HB-10637,address differs (confirm current address),Mateo Anderson,1978-03-04,105397681,"7 Tui Terrace, Karori, Wellington 6012",H:HB-10637,Harbourside,name + address,Mateo Anderson,1978-03-04,105397681,"7 Tui Terrace, Karori, Wellington 6012",Active,2019-12-23,mateo.anderson@outlook.com
H:HB-10637,address differs (confirm current address),Mateo Anderson,1978-03-04,105397681,"7 Tui Terrace, Karori, Wellington 6012",H:HB-11370,Harbourside,,Mateo Anderson,1978-03-04,,"7 Tui Terrace, Karori, Wellington 6012",Active,2003-07-28,
H:HB-10637,address differs (confirm current address),Mateo Anderson,1978-03-04,105397681,"7 Tui Terrace, Karori, Wellington 6012",T:00400031,Totara,,Mateo Anderson,1978-03-04,105397681,"167 Albert Drive, Johnsonville, Wellington 6037",Active,1999-01-28,mateo88@hotmail.com
H:HB-10645,address differs (confirm current address),Aroha Lee Wilson,2006-12-12,102549812,"29 Kowhai Street, Mount Maunganui, Tauranga 3116",H:HB-10645,Harbourside,name + address,Aroha Lee Wilson,2006-12-12,102549812,"29 Kowhai Street, Mount Maunganui, Tauranga 3116",Active,2020-09-01,aroha.wilson@outlook.com
H:HB-10645,address differs (confirm current address),Aroha Lee Wilson,2006-12-12,102549812,"29 Kowhai Street, Mount Maunganui, Tauranga 3116",T:00400061,Totara,,Aroha L Wilson,2006-12-12,102549812,"199 Great North Place, Dunedin 9011",Active,2005-12-24,aroha22@hotmail.com
H:HB-10683,address differs (confirm current address),Mateo Wang,1947-07-26,124317923,"163 Tui Crescent, Otumoetai, Tauranga 3110",H:HB-10683,Harbourside,name + address,Mateo Wang,1947-07-26,124317923,"163 Tui Crescent, Otumoetai, Tauranga 3110",Active,2017-01-23,mateo.wang@gmail.com
H:HB-10683,address differs (confirm current address),Mateo Wang,1947-07-26,124317923,"163 Tui Crescent, Otumoetai, Tauranga 3110",T:00400187,Totara,,Mateo Wang,1947-07-26,124317923,"67 Matai Avenue, Wellington 6037",Active,2024-08-26,
H:HB-10691,address differs (confirm current address),Aisha Louise Taylor,1989-04-06,120591774,"Unit 4, 193 Tui Place, Frankton, Hamilton 3204",H:HB-10691,Harbourside,name + address,Aisha Louise Taylor,1989-04-06,120591774,"Unit 4, 193 Tui Place, Frankton, Hamilton 3204",Active,1996-10-08,aisha.taylor@gmail.com
H:HB-10691,address differs (confirm current address),Aisha Louise Taylor,1989-04-06,120591774,"Unit 4, 193 Tui Place, Frankton, Hamilton 3204",T:00400212,Totara,,Aisha L Taylor,1989-04-06,120591774,"Unit 6, 156 Queen Road, Hillcrest, Hamilton 3216",Active,2012-09-05,aisha26@gmail.com
H:HB-10703,address differs (confirm current address),Jennifer Wang,1998-03-09,135329679,"Unit 8, 80 Pohutukawa Crescent, St Clair, Dunedin 9012",H:HB-10703,Harbourside,name + address,Jennifer Wang,1998-03-09,135329679,"Unit 8, 80 Pohutukawa Crescent, St Clair, Dunedin 9012",Active,2002-07-25,jennifer.wang@outlook.com
H:HB-10703,address differs (confirm current address),Jennifer Wang,1998-03-09,135329679,"Unit 8, 80 Pohutukawa Crescent, St Clair, Dunedin 9012",T:00400252,Totara,,Jen Wang,1998-03-09,135329679,"47 Church Terrace, St Clair, Dunedin 9012",Active,2015-09-14,
H:HB-10724,address differs (confirm current address),Anna Van der Berg,1990-09-24,123222712,"153 Park Drive, Hillcrest, Hamilton 3216",H:HB-10724,Harbourside,name + address,Anna Van der Berg,1990-09-24,,"153 Park Drive, Hillcrest, Hamilton 3216",Active,1995-04-29,anna.vanderberg@xtra.co.nz
H:HB-10724,address differs (confirm current address),Anna Van der Berg,1990-09-24,123222712,"153 Park Drive, Hillcrest, Hamilton 3216",T:00400311,Totara,,Anna Van Der Berg,1990-09-24,123222712,"89 Church Avenue, Riccarton, Christchurch 8011",Active,2006-08-15,
H:HB-10734,address differs (confirm current address),Kiri Johansson,1997-06-27,108182204,"15 Rata Road, Remuera, Auckland 1050",H:HB-10734,Harbourside,name + address,Kiri Johansson,1997-06-27,108182204,"15 Rata Road, Remuera, Auckland 1050",Active,2005-12-31,kiri.johansson@xtra.co.nz
H:HB-10734,address differs (confirm current address),Kiri Johansson,1997-06-27,108182204,"15 Rata Road, Remuera, Auckland 1050",T:00400358,Totara,,Kiri Johansson,1997-06-27,108182204,"94 Nikau Street, Frankton, Hamilton 3204",Active,2008-03-13,kiri17@hotmail.com
H:HB-10735,address differs (confirm current address),Margaret Campbell,1954-08-06,108557312,"9 Matai Crescent, Halswell, Christchurch 8025",H:HB-10735,Harbourside,name + address,Margaret Campbell,1954-08-06,108557312,"9 Matai Crescent, Halswell, Christchurch 8025",Active,2012-10-28,margaret.campbell@xtra.co.nz
H:HB-10735,address differs (confirm current address),Margaret Campbell,1954-08-06,108557312,"9 Matai Crescent, Halswell, Christchurch 8025",T:00400368,Totara,,Margaret Campbell,1954-08-06,108557312,"2 Clyde Drive, Otumoetai, Tauranga 3110",Active,1995-04-11,margaret17@hotmail.com
H:HB-10740,address differs (confirm current address),Tevita Robinson,1960-09-30,129107302,"201 Seaview Place, Mount Eden, Auckland 1024",H:HB-10740,Harbourside,name + address,Tevita Robinson,1960-09-30,129107302,"201 Seaview Place, Mount Eden, Auckland 1024",Active,2002-12-10,tevita.robinson@gmail.com
H:HB-10740,address differs (confirm current address),Tevita Robinson,1960-09-30,129107302,"201 Seaview Place, Mount Eden, Auckland 1024",T:00400384,Totara,,Tevita Robinson,1960-09-30,,"Unit 3, 109 Marine Drive, Wellington 6012",Active,1993-12-31,tevita96@xtra.co.nz
H:HB-10786,address differs (confirm current address),Samuel James Tipene,1980-12-27,100318736,"123 Victoria Road, Johnsonville, Wellington 6037",H:HB-10786,Harbourside,name + address,Samuel James Tipene,1980-12-27,100318736,"123 Victoria Road, Johnsonville, Wellington 6037",Active,2003-05-15,
H:HB-10786,address differs (confirm current address),Samuel James Tipene,1980-12-27,100318736,"123 Victoria Road, Johnsonville, Wellington 6037",T:00400523,Totara,,Samuel J Tipene,1980-12-27,100318736,"135 Clyde Crescent, Wellington 6021",Dormant,2003-12-26,samuel67@gmail.com
H:HB-10833,address differs (confirm current address),Olivia Williams,1997-01-01,133190748,"154 Kereru Drive, Hillcrest, Hamilton 3216",H:HB-10833,Harbourside,name + address,Olivia Williams,1997-01-01,133190748,"154 Kereru Drive, Hillcrest, Hamilton 3216",Active,2022-04-10,olivia.williams@gmail.com
H:HB-10833,address differs (confirm current address),Olivia Williams,1997-01-01,133190748,"154 Kereru Drive, Hillcrest, Hamilton 3216",T:00400664,Totara,,Olivia Williams,1997-01-01,,"Unit 2, 121 Rata Crescent, Frankton, Hamilton 3204",Active,2009-03-20,
H:HB-10841,address differs (confirm current address),Mei Wilson,2005-03-13,123048146,"133 Queen Road, Henderson, Auckland 0612",H:HB-10841,Harbourside,name + address,Mei Wilson,2005-03-13,123048146,"133 Queen Road, Henderson, Auckland 0612",Active,2013-02-12,mei.wilson@gmail.com
H:HB-10841,address differs (confirm current address),Mei Wilson,2005-03-13,123048146,"133 Queen Road, Henderson, Auckland 0612",T:00400665,Totara,,Mei Wilson,2005-03-13,123048146,"Unit 7, 187 Queen Drive, Henderson, Auckland 0612",Dormant,2001-05-29,
H:HB-10845,address differs (confirm current address),James Sharma,1940-03-17,116060295,"69 Marine Terrace, Papanui, Christchurch 8053",H:HB-10845,Harbourside,name,James Sharma,1940-03-17,116060295,"78 Totara Drive, Mount Eden, Auckland 1024",Dormant,1997-02-21,james.sharma@outlook.com
H:HB-10845,address differs (confirm current address),James Sharma,1940-03-17,116060295,"69 Marine Terrace, Papanui, Christchurch 8053",T:00400697,Totara,address,James Sharma,1940-03-17,,"69 Marine Terrace, Papanui, Christchurch 8053",Active,2012-08-25,james59@xtra.co.nz
H:HB-10862,address differs (confirm current address),Matthew Paul Hughes,2003-05-18,103257687,"116 Kowhai Crescent, Mornington, Dunedin 9011",H:HB-10862,Harbourside,name + address,Matthew Paul Hughes,2003-05-18,103257687,"116 Kowhai Crescent, Mornington, Dunedin 9011",Active,2000-04-12,matthew.hughes@gmail.com
H:HB-10862,address differs (confirm current address),Matthew Paul Hughes,2003-05-18,103257687,"116 Kowhai Crescent, Mornington, Dunedin 9011",T:00400755,Totara,,Matthew Hughes,2003-05-18,103257687,"53 Manuka Crescent, Auckland 1011",Active,2022-12-24,matthew28@gmail.com
H:HB-10879,address differs (confirm current address),William Faleolo,1991-11-29,105045208,"141 Seaview Place, Remuera, Auckland 1050",H:HB-10879,Harbourside,name + address,William Faleolo,1991-11-29,105045208,"141 Seaview Place, Remuera, Auckland 1050",Active,1998-03-17,william.faleolo@outlook.com
H:HB-10879,address differs (confirm current address),William Faleolo,1991-11-29,105045208,"141 Seaview Place, Remuera, Auckland 1050",T:00400803,Totara,,William Faleolo,1991-11-29,105045208,"227 Victoria Terrace, Hamilton 3210",Active,1988-08-18,
H:HB-10888,address differs (confirm current address),Sophie Michael Nguyen,1985-05-06,137906396,"41 Hill Drive, Mount Maunganui, Tauranga 3116",H:HB-10888,Harbourside,name + address,Sophie Michael Nguyen,1985-05-06,137906396,"41 Hill Drive, Mount Maunganui, Tauranga 3116",Active,2006-05-16,sophie.nguyen@xtra.co.nz
H:HB-10888,address differs (confirm current address),Sophie Michael Nguyen,1985-05-06,137906396,"41 Hill Drive, Mount Maunganui, Tauranga 3116",T:00400806,Totara,,Sophie M Nguyen,1985-05-06,137906396,"Unit 8, 174 Pohutukawa Terrace, Dunedin 9010",Active,2025-05-11,sophie92@gmail.com
H:HB-10913,address differs (confirm current address),Lucy John White,1973-04-14,136117149,"69 Seaview Avenue, Miramar, Wellington 6022",H:HB-10913,Harbourside,name + address,Lucy John White,1973-04-14,136117149,"69 Seaview Avenue, Miramar, Wellington 6022",Active,2023-09-12,lucy.white@xtra.co.nz
