record_a,record_b,pair_type,entity_type,name_a,name_b,dob_a,dob_b,tax_id_a,tax_id_b,street_a,street_b,tax_match,tax_near,tax_conflict,nzbn_match,nzbn_conflict,dob_match,dob_conflict,phone_match,postcode_match,type_conflict,name_similarity,address_similarity,match_score,match_decision
H:HB-10929,H:HB-11371,H-H,PERSON,wiremu white,wiremu white,1953-03-07,1953-03-07,124254116,,124 harbour ave,124 harbour ave,,,,,,1,0,1,1,0,1.0,1.0,85.0,MATCH
H:HB-10637,H:HB-11370,H-H,PERSON,mateo anderson,mateo anderson,1978-03-04,1978-03-04,105397681,,7 tui tce,7 tui tce,,,,,,1,0,1,1,0,1.0,1.0,85.0,MATCH
H:HB-10065,H:HB-11348,H-H,PERSON,grace hughes,grace hughes,1997-09-16,1997-09-16,135915760,,95 manuka pl,95 manuka pl,,,,,,1,0,1,1,0,1.0,1.0,85.0,MATCH
H:HB-10569,H:HB-11354,H-H,PERSON,benjamin mitchell,ben mitchell,1960-10-19,1960-10-19,101387187,,1 nikau dr,1 nikau dr,,,,,,1,0,1,1,0,0.9119281045751634,1.0,76.19281045751634,MATCH
H:HB-10755,H:HB-11363,H-H,PERSON,william campbell,bill campbell,2000-07-25,2000-07-25,122850476,,188 marine cres,188 marine cres,,,,,,1,0,1,1,0,0.8354700854700855,1.0,68.54700854700855,MATCH
H:HB-10114,H:HB-11360,H-H,PERSON,anthony zhang,tony zhang,2006-11-15,2006-11-15,124230787,,202 kereru rd,202 kereru rd,,,,,,1,0,1,1,0,0.7897435897435897,1.0,63.97435897435898,MATCH
T:00404055,H:HB-11289,T-H,BUSINESS,pacific steel distributors,pacific steel distributors,,,133324964,133324964,244 ranui ave,244 ranui ave,1,0,0,1,0,,,1,1,0,1.0,1.0,165.0,MATCH
T:00403999,H:HB-11275,T-H,BUSINESS,pukeko transport,pukeko transport,,,100752993,100752993,128 nikau rd,128 nikau rd,1,0,0,1,0,,,1,1,0,1.0,1.0,165.0,MATCH
T:00404168,H:HB-11322,T-H,BUSINESS,fernbird software,fernbird software,,,122179441,122179441,82 rimu dr,82 rimu dr,1,0,0,1,0,,,1,1,0,1.0,1.0,165.0,MATCH
T:00404111,H:HB-11311,T-H,BUSINESS,harvest food manufacturing,harvest food manufacturing,,,118856184,118856184,112 great north cres,112 great north cres,1,0,0,1,0,,,1,1,0,1.0,1.0,165.0,MATCH
T:00401043,H:HB-10991,T-H,PERSON,anthony mitchell,anthony mitchell,1985-06-25,1985-06-25,102062527,102062527,214 albert dr,214 albert dr,1,0,0,,,1,0,1,1,0,1.0,1.0,135.0,MATCH
T:00400446,H:HB-10760,T-H,PERSON,oliver tuilagi,oliver tuilagi,1966-08-15,1966-08-15,114729362,114729362,80 pohutukawa st,80 pohutukawa st,1,0,0,,,1,0,1,1,0,1.0,1.0,135.0,MATCH
T:00400609,H:HB-10813,T-H,PERSON,christopher clarke,christopher clarke,1978-03-28,1978-03-28,105679758,105679758,53 seaview pl,53 seaview pl,1,0,0,,,1,0,1,1,0,1.0,1.0,135.0,MATCH
T:00400987,H:HB-10956,T-H,PERSON,benjamin taylor,benjamin taylor,1958-12-30,1958-12-30,138029574,138029574,202 kauri tce,202 kauri tce,1,0,0,,,1,0,1,1,0,1.0,1.0,135.0,MATCH
T:00401208,H:HB-11022,T-H,PERSON,tane campbell,tane campbell,1971-07-26,1971-07-26,125898424,125898424,13 ranui rd,13 ranui rd,1,0,0,,,1,0,1,1,0,1.0,1.0,135.0,MATCH
T:00400875,H:HB-10914,T-H,PERSON,jack stewart,jack stewart,2004-03-14,2004-03-14,106923747,106923747,196 victoria tce,196 victoria tce,1,0,0,,,1,0,1,1,0,1.0,1.0,135.0,MATCH
T:00401352,H:HB-11060,T-H,PERSON,rachel te rangi,rachel te rangi,1946-03-22,1946-03-22,121903743,121903743,214 harbour pl,214 harbour pl,1,0,0,,,1,0,1,1,0,1.0,1.0,135.0,MATCH
T:00400967,H:HB-10947,T-H,PERSON,arjun fitzgerald,arjun fitzgerald,1969-09-14,1969-09-14,134120186,134120186,202 great north dr,202 great north dr,1,0,0,,,1,0,1,1,0,1.0,1.0,135.0,MATCH
