true_entity_id,bank,customer_id,cluster_id,customer_type,name,dob,tax_id,address,phone_1,phone_2,email,status
TRUE-0234,Totara,00401592,T:00401592,RETAIL,"POHATU, DAVID",18-SEP-1946,136825604,"11/235 TOTARA TCE, MOUNT MAUNGANUI, TAURANGA 3116",021-2266484,(07) 9929698,,A
TRUE-0234,Totara,00404631,T:00401592,RETAIL,"POHATU, DAVID",18-SEP-1946,,"11/235 TOTARA TCE, MOUNT MAUNGANUI, TAURANGA 3116",0212266484,(07) 9929698,DAVID37@GMAIL.COM,A
TRUE-0290,Totara,00402453,T:00402453,RETAIL,"WILSON, AMELIA",05-SEP-2001,124354133,"148 QUEEN AVE, , AUCKLAND 0612",022-4457347,,AMELIA83@HOTMAIL.COM,A
TRUE-0290,Totara,00404564,T:00402453,RETAIL,"WILSON, AMELIA",05-SEP-2001,,"148 QUEEN AVE, HENDERSON, AUCKLAND 0612",022-4457347,,AMELIA82@GMAIL.COM,A
TRUE-0301,Totara,00402614,T:00402614,RETAIL,"AHMED, SAM P",09-MAY-1944,136616582,"147 CHURCH RD, TAKAPUNA, AUCKLAND 0622",+64229804415,,SAM24@GMAIL.COM,D
TRUE-0301,Totara,00404605,T:00402614,RETAIL,"AHMED, SAM P",09-MAY-1944,,"147 CHURCH RD, TAKAPUNA, AUCKLAND 0622",0229804415,,SAM80@HOTMAIL.COM,A
TRUE-0315,Totara,00402830,T:00402830,RETAIL,"SCOTT, MEI",01-DEC-1990,139822644,"231 VICTORIA PL, RICCARTON, CHRISTCHURCH 8011",029-7403706,(03) 8389398,MEI20@XTRA.CO.NZ,A
TRUE-0315,Totara,00404550,T:00402830,RETAIL,"SCOTT, MEI",01-DEC-1990,,"231 VICTORIA PL, RICCARTON, CHRISTCHURCH 8011",029-7403706,(03) 8389398,,D
TRUE-0341,Totara,00403239,T:00403239,RETAIL,"SCOTT, RAWIRI",10-JUN-1949,100698827,"202 VICTORIA DR, , WELLINGTON 6012",+64276401448,(04) 8653000,,D
TRUE-0341,Totara,00404533,T:00403239,RETAIL,"SCOTT, RAWIRI",10-JUN-1949,,"202 VICTORIA DR, KELBURN, WELLINGTON 6012",0276401448,(04) 8653000,,A
TRUE-0353,Totara,00403447,T:00403447,RETAIL,"TE RANGI, ISLA",29-FEB-1956,116326348,"15 MARINE PL, REMUERA, AUCKLAND 1050",027-6492030,,,A
TRUE-0353,Totara,00404576,T:00403447,RETAIL,"TE RANGI, ISLA",29-FEB-1956,,"15 MARINE PL, REMUERA, AUCKLAND 1050",0276492030,,ISLA24@GMAIL.COM,A
TRUE-0013,Harbourside,HB-10065,H:HB-10065,Individual,Grace Hughes,1997-09-16,135-915-760,"95 Manuka Place, Riccarton, Christchurch 8011",022 659 3510,03 975 3071,grace.hughes@outlook.com,Active
TRUE-0013,Harbourside,HB-11348,H:HB-10065,Individual,Grace Hughes,1997-09-16,,"95 Manuka Place, Riccarton, Christchurch 8011",022 659 3510,03 975 3071,,Active
TRUE-0024,Harbourside,HB-10114,H:HB-10114,Individual,Anthony Zhang,2006-11-15,124-230-787,"202 Kereru Road, Sumner, Christchurch 8081",027 175 6907,,anthony.zhang@outlook.com,Active
TRUE-0024,Harbourside,HB-11360,H:HB-10114,Individual,Tony Zhang,2006-11-15,,"202 Kereru Road, Sumner, Christchurch 8081",027 175 6907,,,Active
TRUE-0116,Harbourside,HB-10569,H:HB-10569,Individual,Benjamin Mitchell,1960-10-19,101-387-187,"1 Nikau Drive, Ponsonby, Auckland 1011",027 869 7039,09 998 2407,benjamin.mitchell@outlook.com,Active
TRUE-0116,Harbourside,HB-11354,H:HB-10569,Individual,Ben Mitchell,1960-10-19,,"1 Nikau Drive, Ponsonby, Auckland 1011",027 869 7039,09 998 2407,,Active
