CUST_NO,CLIENT_SEGMENT,FULL_NAME,ENTITY_NAME,DOB,SEX,TAX_ID,COMPANY_REG_NO,NZBN,ADDR_1,ADDR_2,ADDR_3,CONTACT_PH_1,CONTACT_PH_2,EMAIL_ADDR,OCCUPATION_CD,EMPLOYER,INCOME_BAND,ONBOARD_DT,KYC_VERIFIED,KYC_LAST_REVIEW,AML_RISK,PEP_IND,PRODUCT_CODES,ACCT_CNT,TOTAL_DEP_BAL,TOTAL_LOAN_BAL,INTERNAL_RISK_GRADE,HOME_BRANCH_CD,E_STATEMENTS,DECEASED_IND,STATUS
00401267,RETAIL,"WHITE, OLIVER",,27-OCT-1968,M,132391321,,,195 STATION CRES,JOHNSONVILLE,WELLINGTON 6037,+64218846403,(04) 6575344,,NURS,SPARK,D: 120K+,02-NOV-1998,Y,21-JAN-2024,M,N,CC|CHQ|INS,3,3542.04,0.0,2,BR147,Y,N,A
00401571,RETAIL,"SMITH, NIKOLAI",,11-SEP-1945,M,127383511,,,209 RANUI TCE,,DUNEDIN 9012,022-1907708,,NIKOLAI23@HOTMAIL.COM,SOFT,AIR NEW ZEALAND,C: 70-120K,26-NOV-2018,Y,25-AUG-2024,L,N,TD,1,11941.51,0.0,1,BR143,Y,N,A
00403796,RETAIL,"WANG, ANTHONY",,14-JUL-1981,M,103532277,,,72 HILL AVE,,DUNEDIN 9012,+64294855252,(03) 7888057,,BUIL,SPARK,D: 120K+,11-SEP-2007,Y,20-AUG-2023,L,N,CC|SAV,4,4039.48,0.0,4,BR125,N,N,A
00404302,CORP,,SILVER BIRCH RETIREMENT VILLAGE LTD,,,115644170,2936644,,145 RANUI DR,HALSWELL,CHRISTCHURCH 8025,(03) 6987353,,,,,,06-JAN-2011,Y,30-SEP-2024,L,N,OD,2,30499.08,1500000,3,BR140,Y,N,A
00404055,SME,,Pacific Steel Distributors Ltd,,,133324964,5064533,9429741030389,244 RANUI AVE,MOUNT EDEN,AUCKLAND 1024,(09) 8002552,,,,,,01-APR-2003,Y,25-DEC-2025,M,N,BSAV|EQF|OD|TD,6,3148.56,80000,4,BR151,Y,N,A
00402005,RETAIL,"CHEN, STEVE",,10-AUG-1941,M,,,,6/78 KERERU ST,MOUNT EDEN,AUCKLAND 1024,+64273299962,,,ACCO,FLETCHER BUILDING,A: <30K,18-MAY-2020,Y,19-JUL-2025,M,N,CHQ,2,1505.39,0.0,2,BR140,Y,N,A
00404433,SME,,Pipi Beach Holiday Park Ltd,,,115423677,5270137,,45 KAURI ST,PAPATOETOE,AUCKLAND 2025,(09) 8343774,,,,,,13-JUL-2005,Y,08-MAR-2023,M,N,MERCH,1,66207.78,300000,5,BR125,Y,N,A
00401378,RETAIL,"ROSSI, RAWIRI",,21-JUN-2003,M,113107372,,,188 MATAI DR,HILLCREST,HAMILTON 3216,+64213764661,,,RETI,AUCKLAND COUNCIL,C: 70-120K,19-NOV-2003,Y,05-JAN-2026,L,N,CC|TD,3,15276.49,0.0,3,BR134,N,N,A
00401845,RETAIL,"KENNEDY, ZOE",,13-FEB-1962,F,139914631,,,4 POHUTUKAWA RD,ONEHUNGA,AUCKLAND 1061,+64292595212,,ZOE58@XTRA.CO.NZ,ACCO,AIR NEW ZEALAND,B: 30-70K,11-JUL-2022,Y,15-DEC-2023,L,N,INS|SAV,3,7945.91,0.0,3,BR152,N,N,A
00400462,RETAIL,"BROWN, SARAH",,31-JAN-1982,F,124069741,,,6/128 SEAVIEW TCE,,DUNEDIN 9011,+64298841772,(03) 3421274,SARAH46@GMAIL.COM,DOCT,HARBOURVIEW AGED CARE LTD,C: 70-120K,12-OCT-2016,Y,09-DEC-2019,L,N,MTG|SAV|TD,2,4032.71,839964.4,6,BR133,Y,N,A
